time,commercial_kw,pv_ac_kw,pv_curtail_kw,chargers_requested_kw,chargers_controlled_kw,bess_charge_kw,bess_discharge_kw,soc_kwh,grid_draw_kw,violation_kw
2025-11-04 16:00:00,130.9126576961159,83.88093189936309,2.3606094606664646e-05,60.0,60.00005713253179,9.843803567509077e-06,0.0,3.22238929547455e-07,107.03181637918276,0.0
2025-11-04 16:15:00,130.68063897075132,72.66408739776271,3.19727109993392e-05,60.0,60.00007058245428,1.5231678360498383e-05,0.0,5.071874944906331e-06,118.01666935983224,0.0
2025-11-04 16:30:00,123.91216069837797,61.44724289616235,0.0,120.0,87.53533858392291,0.0,1.9201397583115818e-05,1.2478715282139357e-05,150.00023718474097,4.903549635446032e-05
2025-11-04 16:45:00,124.14107942550503,50.23039839456198,0.0,120.0,76.0893685969412,0.0,1.5388289176906363e-06,3.1169508728090288e-06,150.00004808905535,9.11496960054336e-06
2025-11-04 17:00:00,118.8276347533578,39.013553892961625,0.0,120.0,70.18605030057759,0.0,7.334750907221405e-06,2.3655095825063646e-06,150.00012382622285,2.5678898024151193e-05
2025-11-04 17:15:00,112.16201656234078,0.0,5.650485778111069e-05,120.0,37.83760227034733,3.147579226981158e-05,0.0,-1.211579516282822e-06,149.99970681333815,0.0
2025-11-04 17:30:00,111.4108688682838,0.0,3.7124870734495757e-07,120.0,38.589201530392096,6.7088204293114146e-06,0.0,1.4215371842489515e-05,150.00007747874503,2.2906043698857213e-05
2025-11-04 17:45:00,111.16897314148048,0.0,0.0,120.0,38.83172913952567,0.0,4.952600307579905e-05,1.7654232609239166e-05,150.00065275500307,0.00013705201149651435
2025-11-04 18:00:00,102.78421660469675,0.0,4.377518738450683e-06,120.0,47.21569214378758,1.1439116468738466e-05,0.0,-6.492853481159275e-06,149.99992456511953,0.0
2025-11-04 18:15:00,104.12184814137423,0.0,0.0,120.0,45.87921881747231,0.0,8.086310057429039e-05,-6.806001684799156e-07,150.00098609574596,0.00020821277197195995
2025-11-04 18:30:00,88.37339231379681,0.0,0.0,120.0,61.62760646907123,0.0,8.295584940683057e-05,-4.0104109204541834e-05,150.00091582701864,0.00019198033842972285
2025-11-04 18:45:00,95.81830090757725,0.0,0.0001137862558803359,60.0,54.18108936774262,3.7327528131887605e-05,0.0,-8.054552911925645e-05,149.99954138910388,0.0
2025-11-04 19:00:00,91.07440015540807,0.0,0.0004850577283510453,60.0,58.92287772663095,0.00020803754277296375,0.0,-6.284505995294919e-05,149.99797097731013,0.0
2025-11-04 19:15:00,87.72405936431075,0.0,1.4304303284114298e-05,60.0,60.0000330301857,0.0,1.9727868643700056e-05,3.76971902500033e-05,147.72408697093107,0.0
2025-11-04 19:30:00,87.04204656942785,0.0,1.9747104202212623e-05,0.0,2.3671341441167705e-05,0.0,9.985099726865983e-06,2.8085483975536733e-05,87.04208000277377,0.0
2025-11-04 19:45:00,79.26624334741373,0.0,1.0941889774422755e-05,0.0,1.3105533681688191e-05,0.0,8.582262349534968e-06,2.3221763838745662e-05,79.26625881257483,0.0
2025-11-04 20:00:00,83.31895978133338,0.0,3.08312213541921e-06,0.0,3.5656797189706933e-06,0.0,7.751494951332314e-06,1.904059262266774e-05,83.31895867864029,0.0
2025-11-04 20:15:00,84.05070365553516,0.0,0.0,0.0,0.0,0.0,7.016428030455982e-06,1.5263326475547252e-05,84.05069663910713,0.0
2025-11-04 20:30:00,86.63052881631081,0.0,0.0,0.0,0.0,0.0,6.25000895983269e-06,1.1843528387565955e-05,86.63052256630185,1.2084764881718825e-06
2025-11-04 20:45:00,80.03992901356818,0.0,0.0,0.0,0.0,0.0,5.3635839067535015e-06,8.796679121781443e-06,80.03992364998427,2.5915492305449333e-06
2025-11-04 21:00:00,78.71422823558507,0.0,0.0,0.0,0.0,0.0,4.479260847290489e-06,6.181456668684702e-06,78.71422375632422,3.2949840078914805e-06
2025-11-04 21:15:00,79.29661433303833,0.0,0.0,0.0,0.0,0.0,3.6898027471019406e-06,3.996986516608514e-06,79.29661064323558,3.5253852093346006e-06
2025-11-04 21:30:00,83.30165618002522,0.0,0.0,0.0,0.0,0.0,3.0231126059562936e-06,2.197147494966761e-06,83.30165315691261,3.4113318113672114e-06
2025-11-04 21:45:00,81.36503720119393,0.0,0.0,0.0,0.0,0.0,2.319389386171466e-06,7.221936939712132e-07,81.36503488180455,2.872540761645902e-06
2025-11-04 22:00:00,78.66502285025003,0.0,0.0,0.0,0.0,0.0,1.6184103671478533e-06,-4.097366082541017e-07,78.66502123183966,2.0397795868214773e-06
2025-11-04 22:15:00,81.70788662373681,0.0,0.0,0.0,0.0,0.0,1.1677313395354361e-06,-1.1999160056599948e-06,81.70788545600547,1.257514610028907e-06
2025-11-04 22:30:00,80.40060720395329,0.0,0.0,0.0,0.0,0.0,6.115097383774788e-07,-1.770320474252878e-06,80.40060659244355,2.1676197798242088e-07
2025-11-04 22:45:00,82.97600294254295,0.0,0.0,0.0,0.0,0.0,2.1675977590996778e-07,-2.0694651932112548e-06,82.97600272578318,0.0
2025-11-04 23:00:00,77.93803203371469,0.0,0.0,0.0,0.0,3.562092237588103e-07,0.0,-2.176050362061951e-06,77.93803238992392,0.0
2025-11-04 23:15:00,79.0444525718783,0.0,6.89849082098789e-07,0.0,6.693759089940751e-07,8.716685951096752e-07,0.0,-1.976502311501189e-06,79.04445480277188,0.0
2025-11-04 23:30:00,78.84044867199866,0.0,2.5727102508359005e-06,0.0,3.009770392943684e-06,1.4479186354461268e-06,0.0,-1.5375985558435017e-06,78.84045570239793,0.0
2025-11-04 23:45:00,75.61954940388368,0.0,4.066227710653738e-06,0.0,4.857584718467617e-06,1.998251424474654e-06,0.0,-8.270543036178978e-07,75.61956032594753,0.0
